,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_classifier__C,param_classifier__penalty,param_classifier__solver,params,split0_test_AUC,split1_test_AUC,split2_test_AUC,mean_test_AUC,std_test_AUC,rank_test_AUC,split0_test_Recall,split1_test_Recall,split2_test_Recall,mean_test_Recall,std_test_Recall,rank_test_Recall,split0_test_Precision,split1_test_Precision,split2_test_Precision,mean_test_Precision,std_test_Precision,rank_test_Precision
0,0.0995496114095052,0.0077343221371203395,0.012407700220743815,0.0018846922810730488,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.0001,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.0001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,91,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96
1,0.14379541079203287,0.009441032470324288,0.014311472574869791,0.0016797709245290689,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.0001,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.0001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5421783331378088,0.5338588186304196,0.5310721076823237,0.5357030864835174,0.004717912949775836,88,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45
2,0.08713960647583008,0.009199166439591181,0.012482643127441406,0.0015108140832346087,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00014563484775012445,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00014563484775012445, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,91,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96
3,0.12422339121500652,0.015267840037248676,0.015386343002319336,0.002571387965570184,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00014563484775012445,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00014563484775012445, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5553874397176838,0.5466003574399185,0.5428346083225837,0.5482741351600621,0.005259565438372846,86,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45
4,0.08755048116048177,0.004172215420930487,0.011754830678304037,0.00043961978174318606,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00021209508879201905,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00021209508879201905, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,91,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96
5,0.13101863861083984,0.0026106999671099444,0.01647663116455078,0.001678022999685275,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00021209508879201905,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00021209508879201905, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5698732684192003,0.5612801605344195,0.5570988962305367,0.5627507750613855,0.005317780020448264,82,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45
6,0.07686161994934082,0.0018836403751071014,0.011797587076822916,0.0017153902277752568,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00030888435964774815,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00030888435964774815, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,91,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96
7,0.1679062843322754,0.004030125112382816,0.014549970626831055,4.063900455943669e-05,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.00030888435964774815,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.00030888435964774815, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5831293008783807,0.5758265842152193,0.5725045202178779,0.5771534684371593,0.004437864150299737,52,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45
8,0.08132410049438477,0.002207591932649917,0.01306001345316569,0.0015797010817292935,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.0004498432668969444,l1,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.0004498432668969444, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.0,91,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96,0.42045770406745114,0.42045770406745114,0.42055035671268415,0.42048858828252883,4.367687582608597e-05,96
9,0.14222184816996256,0.01308319661658117,0.014380216598510742,0.0016541350777367052,"LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear')",0.0004498432668969444,l2,liblinear,"{'classifier': LogisticRegression(C=0.18420699693267145, penalty='l1', solver='liblinear'), 'classifier__C': 0.0004498432668969444, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.5933705921996647,0.5886240676916378,0.5871349628592846,0.5897098742501957,0.0026589471888459814,44,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45,0.5795422959325489,0.5795422959325489,0.5794496432873159,0.5795114117174712,4.3676875826112135e-05,45
