,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_features,param_randomforestclassifier__n_estimators,param_randomforestclassifier__n_jobs,param_randomforestclassifier__random_state,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision
71,56.77301006,2.139462966,3.769943357,0.374234643,4,120,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 120, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.608219671,0.605148753,0.603831917,0.603817826,0.601860044,0.595557989,0.598795989,0.604119028,0.597697221,0.61118612,0.603023456,0.004516177,29,0.604231007,0.598826436,0.601760346,0.598054355,0.591105621,0.593885114,0.598980852,0.591260037,0.586009883,0.606547251,0.59706609,0.006104114,15,0.72921289,0.72715816,0.728954283,0.726374435,0.719253605,0.72157527,0.724456233,0.720042306,0.717104569,0.731789474,0.724592122,0.004651096,41,0.915627487,0.913456464,0.931256713,0.914989407,0.915272531,0.919589854,0.914790997,0.911622924,0.917634351,0.91137913,0.916561986,0.005434142,47,0.605863764,0.603977669,0.5988603,0.602231131,0.59238561,0.593728223,0.599683822,0.595000874,0.588500173,0.611326064,0.599155763,0.006574847,35
72,61.22411997,1.972542863,4.009787822,0.356362511,4,130,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 130, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.611982946,0.604814174,0.606598531,0.603434263,0.60787439,0.598478855,0.602205748,0.606788869,0.599656578,0.613790261,0.605562461,0.004671782,26,0.601914762,0.597436689,0.600833848,0.598517603,0.592186535,0.592186535,0.597591106,0.592186535,0.588480544,0.606084002,0.596741816,0.005154013,17,0.72846008,0.726872708,0.729347712,0.727748691,0.721207643,0.722087762,0.724815206,0.721736382,0.720092427,0.733019362,0.725538797,0.004012193,36,0.917484744,0.91530343,0.93528464,0.920286017,0.921748516,0.925796006,0.919614148,0.91724692,0.92573589,0.91819612,0.921669643,0.005610196,43,0.604017467,0.602780191,0.597734683,0.601835816,0.592335703,0.591857858,0.598117811,0.594927914,0.589205913,0.609998258,0.598281161,0.00611236,41
73,66.28806641,1.113946805,3.7373739,0.397347724,4,140,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 140, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.615865993,0.607162763,0.609843803,0.604411537,0.611372864,0.602005432,0.605810075,0.608467609,0.600236901,0.612572822,0.60777498,0.004602684,23,0.600833848,0.598054355,0.599752934,0.594193947,0.5928042,0.593730698,0.597591106,0.59156887,0.586164299,0.60407659,0.595877085,0.004942504,22,0.728494906,0.728259735,0.729662078,0.725964546,0.722450268,0.723605421,0.725915019,0.722717266,0.720075204,0.732526601,0.725967104,0.003626984,33,0.920137968,0.920316623,0.939312567,0.921875,0.926065839,0.929303832,0.924705252,0.923138725,0.930866865,0.920555847,0.925627852,0.005776049,39,0.602920723,0.602522025,0.596521146,0.59872721,0.592234685,0.592465164,0.597472299,0.59379845,0.587123148,0.608281358,0.597206621,0.005889827,48
74,71.49145024,1.994944046,4.110609603,0.563479788,4,150,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 150, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.617252295,0.607967581,0.611761947,0.609547336,0.614450028,0.605547254,0.60728157,0.611652606,0.604507179,0.615496922,0.610546472,0.004088856,21,0.598980852,0.598054355,0.599135269,0.600525015,0.59156887,0.593113033,0.596355775,0.590024707,0.587554046,0.602995676,0.59583076,0.004766539,23,0.728375693,0.729277171,0.729639658,0.730099113,0.722134678,0.723939235,0.72570829,0.722251282,0.721044386,0.733104952,0.726557446,0.003894741,31,0.923852481,0.925065963,0.940655209,0.926641949,0.927415003,0.932271991,0.926580922,0.924477772,0.932217121,0.925799685,0.92849781,0.004908854,36,0.601174033,0.601888412,0.595951004,0.602341195,0.591260967,0.591710909,0.596412556,0.592618026,0.587874659,0.606805293,0.596803705,0.005748356,52
75,75.24355729,2.090412791,4.688709164,0.344405066,4,160,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 160, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.619613978,0.60926307,0.616352105,0.611959648,0.617820843,0.606317884,0.611072214,0.614116315,0.605820234,0.617566189,0.612990248,0.00463983,17,0.600833848,0.597745522,0.603150093,0.59990735,0.594039531,0.59156887,0.600061767,0.590951204,0.587708462,0.603458925,0.596942557,0.005232321,16,0.730364035,0.730247489,0.733181063,0.730749247,0.724913676,0.723875144,0.728739003,0.723745959,0.722222222,0.734161491,0.728219933,0.00401357,22,0.928893606,0.930343008,0.948174006,0.931144068,0.934700486,0.935509984,0.932207931,0.92929834,0.937348096,0.929732564,0.933735209,0.005525533,31,0.60175318,0.60098858,0.597664184,0.601334017,0.592035549,0.590328623,0.598177442,0.59265585,0.587409037,0.606568594,0.596891506,0.005749472,50
76,79.66512265,1.714262987,4.536237431,0.450243117,4,170,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 170, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.621279128,0.613912066,0.617379822,0.616602176,0.620672107,0.609335919,0.61238195,0.616429223,0.607200047,0.619055768,0.615424821,0.004443837,12,0.601297097,0.599598518,0.602223595,0.60160593,0.591723286,0.588943792,0.596355775,0.591723286,0.586009883,0.605003088,0.596448425,0.006136062,18,0.73154502,0.731712364,0.733664185,0.732808616,0.724008351,0.722881532,0.727139875,0.724984398,0.721570257,0.735579905,0.72858945,0.004783746,19,0.933404086,0.93298153,0.95273899,0.936970339,0.935779817,0.936859147,0.933279743,0.933315479,0.93815825,0.932878867,0.936636625,0.005680889,27,0.601470337,0.60187234,0.596503026,0.60170068,0.590398366,0.588474576,0.595588235,0.592687075,0.586230172,0.607167235,0.596209204,0.006450071,58
77,86.73389201,0.892713666,5.202947259,0.243933638,4,180,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 180, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.623795868,0.615869985,0.618032799,0.619425367,0.622435713,0.611700755,0.614285841,0.616790209,0.606644509,0.620322701,0.616930375,0.004875218,9,0.60160593,0.597591106,0.601142681,0.603304509,0.5928042,0.589407041,0.597745522,0.590951204,0.58570105,0.603767758,0.5964021,0.006006397,19,0.732254047,0.730896324,0.732857586,0.734195551,0.725226633,0.723855021,0.728674096,0.72495068,0.721767085,0.735300186,0.728997721,0.004530775,15,0.93605731,0.933773087,0.951396348,0.939618644,0.939017809,0.940366972,0.937299035,0.934922335,0.939778558,0.934452019,0.938668212,0.0048126,24,0.60132947,0.600441127,0.595962994,0.602479199,0.590731625,0.588384265,0.596012949,0.59199593,0.585858586,0.606122449,0.595931859,0.006302079,62
78,88.81963317,1.576863873,5.138845539,0.406169764,4,190,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 190, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.626014794,0.6175531,0.616909263,0.619271618,0.623065533,0.612062886,0.616699175,0.616940717,0.607085813,0.62304735,0.617865025,0.005247662,8,0.601914762,0.60284126,0.601142681,0.602995676,0.593267449,0.589561458,0.598208771,0.591877702,0.589407041,0.608245831,0.597946263,0.006192864,12,0.733236755,0.734954658,0.73373879,0.734702301,0.726366092,0.724273859,0.729127629,0.726085605,0.72465569,0.738048529,0.730518991,0.004731172,7,0.940037145,0.940897098,0.955692803,0.94279661,0.943335132,0.941985969,0.938370847,0.938136047,0.944909533,0.937073938,0.942323512,0.005047427,19,0.601017812,0.602975989,0.595449222,0.601859679,0.590540541,0.588304685,0.596186585,0.592223161,0.587672153,0.608754897,0.596498472,0.006643498,54
79,86.1233171,3.101515035,4.486841822,0.485613482,4,200,-1,100,"{'randomforestclassifier__max_features': 4, 'randomforestclassifier__n_estimators': 200, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.629014054,0.620054932,0.615277894,0.622072348,0.622039292,0.614321882,0.619083506,0.618201677,0.609701698,0.623033462,0.619280074,0.005083274,6,0.603767758,0.603458925,0.602223595,0.602378011,0.593421865,0.587554046,0.599135269,0.591414453,0.588480544,0.606856084,0.597869055,0.006660983,13,0.734862575,0.736128237,0.735033944,0.734727516,0.726100073,0.723642007,0.730649512,0.726200331,0.724205733,0.737850082,0.730940001,0.005155037,6,0.943486336,0.945118734,0.959452202,0.944385593,0.941716136,0.943604965,0.943461951,0.939742903,0.944909533,0.939433665,0.944531202,0.005320489,13,0.601793874,0.602827331,0.595698566,0.601247682,0.590824446,0.58684343,0.596173383,0.591736931,0.587080537,0.607494066,0.596172024,0.006693414,59
80,8.967053866,0.694296833,1.210684776,0.076961453,5,10,-1,100,"{'randomforestclassifier__max_features': 5, 'randomforestclassifier__n_estimators': 10, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.529032559,0.560368971,0.549608536,0.552881454,0.53568182,0.556027546,0.538689549,0.533052134,0.537070312,0.54197543,0.543438831,0.010065706,94,0.533353922,0.556670784,0.550802965,0.547096973,0.536905497,0.552347128,0.53721433,0.534743669,0.544626313,0.535052502,0.542881408,0.008058712,96,0.600370272,0.617862372,0.612391739,0.602305085,0.598366144,0.608930258,0.599706157,0.59746159,0.607689238,0.593602375,0.603868523,0.007193178,96,0.602281772,0.612401055,0.61707841,0.588188559,0.60280626,0.609012412,0.601554126,0.598821639,0.616797191,0.576560042,0.602550147,0.012040026,96,0.598470867,0.623421972,0.607775721,0.617115866,0.59399096,0.608848125,0.597869507,0.596107705,0.598846356,0.611682893,0.605412997,0.009398106,4
